Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,97.139999,98.050003,96.309998,96.309998,96.309998,100
2023-02-27,99.500000,99.500000,97.500000,99.440002,99.440002,100
2023-02-28,98.080002,99.209999,97.080002,98.199997,98.199997,100
2023-03-01,95.129997,96.290001,94.160004,95.650002,95.650002,100
2023-03-02,94.529999,95.470001,92.900002,95.470001,95.470001,100
2023-03-03,96.169998,97.440002,95.510002,97.440002,97.440002,100
2023-03-06,97.620003,97.620003,95.830002,97.500000,97.500000,100
2023-03-07,95.389999,96.860001,94.620003,94.620003,94.620003,100
2023-03-08,95.129997,95.129997,95.129997,95.129997,95.129997,100
2023-03-09,96.660004,96.660004,95.540001,95.699997,95.699997,100
2023-03-10,97.300003,97.300003,97.300003,97.300003,97.300003,100
2023-03-13,95.919998,97.519997,94.059998,94.059998,94.059998,100
2023-03-14,95.500000,95.500000,92.599998,92.599998,92.599998,100
2023-03-15,93.980003,94.790001,91.889999,94.790001,94.790001,1400
2023-03-16,95.660004,95.660004,92.980003,94.250000,94.250000,100
2023-03-17,93.709999,96.949997,93.540001,96.949997,96.949997,100
2023-03-20,95.889999,96.669998,95.889999,96.320000,96.320000,100
2023-03-21,96.870003,96.870003,96.849998,96.849998,96.849998,600
2023-03-22,95.860001,97.860001,95.750000,96.379997,96.379997,100
2023-03-23,98.970001,98.970001,97.250000,97.250000,97.250000,100
2023-03-24,97.930000,97.930000,97.870003,97.870003,97.870003,100
2023-03-27,99.400002,99.400002,99.400002,99.400002,99.400002,100
2023-03-28,99.930000,99.930000,99.269997,99.269997,99.269997,100
2023-03-29,98.449997,99.309998,98.150002,98.150002,98.150002,100
2023-03-30,99.430000,100.919998,97.760002,97.760002,97.760002,100
2023-03-31,97.709999,99.199997,96.230003,98.040001,98.040001,100
2023-04-03,98.040001,98.349998,97.349998,97.349998,97.349998,100
2023-04-04,96.440002,97.660004,96.389999,97.660004,97.660004,100
2023-04-05,98.300003,99.050003,95.349998,99.050003,99.050003,100
2023-04-06,96.290001,97.550003,96.290001,97.550003,97.550003,100
2023-04-10,95.309998,96.639999,94.040001,96.599998,96.599998,100
2023-04-11,96.430000,98.129997,94.720001,96.430000,96.430000,100
2023-04-12,96.080002,96.360001,94.699997,96.360001,96.360001,100
2023-04-13,96.839996,96.839996,95.440002,96.839996,96.839996,100
2023-04-14,95.019997,96.830002,95.019997,95.070000,95.070000,100
2023-04-17,94.510002,97.239998,94.459999,97.239998,97.239998,100
2023-04-18,96.239998,97.660004,94.709999,97.419998,97.419998,100
2023-04-19,95.680000,95.680000,94.120003,94.120003,94.120003,100
2023-04-20,96.169998,96.169998,95.910004,95.910004,95.910004,100
2023-04-21,95.900002,96.099998,95.309998,95.309998,95.309998,500
2023-04-24,95.220001,95.820000,95.220001,95.820000,95.820000,100
2023-04-25,95.870003,95.870003,94.480003,94.480003,94.480003,100
2023-04-26,96.349998,96.349998,94.220001,94.830002,94.830002,100
2023-04-27,95.089996,96.500000,93.690002,93.750000,93.750000,100
2023-04-28,93.339996,96.199997,93.339996,94.849998,94.849998,100
2023-05-01,97.800003,97.800003,93.320000,97.400002,97.400002,100
2023-05-02,92.839996,96.260002,92.839996,96.260002,96.260002,100
